,phylum,class,order,family,genus,species,taxon
2997,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,Streptococcus agalactiae 2603V/R
3108,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Streptococcus
3269,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus,Streptococcus macedonicus ACA-DC 198
3432,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Lactobacillus gasseri ATCC 33323 = JCM 1131
5641,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,Bifidobacterium breve
1021,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,,,Anaplasmataceae
9473,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,Massilia
4510,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
82,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,Rhizobiales
154,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
855,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Candidatus Endolissoclinum,Candidatus Endolissoclinum faulkneri,Candidatus Endolissoclinum faulkneri
895,Proteobacteria,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae,Candidatus Fokinia,Candidatus Fokinia solitaria,Candidatus Fokinia solitaria
3597,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,,Leuconostoc
4111,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,Mycoplasma
4137,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,Mycoplasma
4188,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,Mycoplasma
4397,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Staphylococcus
5003,Chloroflexi <phylum>,Anaerolineae,Anaerolineales,Anaerolineaceae,,,Anaerolineaceae
5005,Chloroflexi <phylum>,,,,,,Chloroflexi <phylum>
5330,Actinobacteria <phylum>,Actinobacteria <class>,Streptomycetales,Streptomycetaceae,,,Streptomycetaceae
5516,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,,,Micrococcaceae
5595,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Actinomyces,,Actinomyces
5912,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Microbacteriaceae,Microbacterium,,Microbacterium
5920,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Microbacteriaceae,,,Microbacteriaceae
5929,Actinobacteria <phylum>,Actinobacteria <class>,,,,,Actinobacteria <class>
6147,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium doosanense,Corynebacterium doosanense CAU 212 = DSM 45436
6831,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,Flavobacteriaceae
7399,Bacteroidetes <phylum>,,,,,,Bacteroidetes <phylum>
7588,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,Rhodopirellula baltica,Rhodopirellula baltica SH 1
7594,Planctomycetes <phylum>,Planctomycetia,Planctomycetales,,,,Planctomycetales
7700,,,,,,,PVC group
7732,,,,,,,PVC group
7960,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacter
8207,Proteobacteria,Epsilonproteobacteria,,,,,Epsilonproteobacteria
8279,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,,Pelobacter
8723,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,Neisseria gonorrhoeae
9329,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,,Paraburkholderia
9364,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,,Ralstonia
9400,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius,Polynucleobacter necessarius
9512,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,,Azoarcus
9574,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella endosymbiont of Polyplax serrata,Legionella endosymbiont of Polyplax serrata
9676,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,,,Ectothiorhodospiraceae
10448,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Pseudomonas
10692,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Parashewanella,,Parashewanella
13251,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,Vibrionaceae
13258,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,,Psychromonas
13330,Proteobacteria,Gammaproteobacteria,Alteromonadales,,,,Alteromonadales
13422,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
13486,,,,,,,Bacteria <prokaryotes>
13515,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,Rhodomicrobium vannielii,Rhodomicrobium vannielii ATCC 17100
9654,Proteobacteria,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Wenzhouxiangella,Wenzhouxiangella marina,Wenzhouxiangella marina
9104,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia pseudomallei,Burkholderia pseudomallei 1106a
2452,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,,Bacillus <bacterium>
3022,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Streptococcus parauberis
3774,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,Lactobacillus plantarum
3827,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum,Lactobacillus plantarum
4553,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Staphylococcus
8514,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas nitritireducens,Stenotrophomonas nitritireducens
10616,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. MEBiC00475,Shewanella sp. MEBiC00475
10970,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sp. FDAARGOS_156,Citrobacter sp. FDAARGOS_156
7980,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter apodemus,Helicobacter apodemus
3630,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus reuteri,Lactobacillus reuteri ATCC 53608
3632,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus reuteri,Lactobacillus reuteri SD2112
6934,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 878,Capnocytophaga sp. oral taxon 878
172,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. THN1,Novosphingobium sp. THN1
375,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus <bacteria>,Paracoccus sp. CBA4604,Paracoccus sp. CBA4604
795,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis,Brevundimonas naejangsanensis
2651,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus <bacterium>,Bacillus butanolivorans,Bacillus butanolivorans
3605,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella paramesenteroides,Weissella paramesenteroides
5532,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. YC-RL1,Arthrobacter sp. YC-RL1
5787,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii,Sanguibacter keddieii DSM 10542
5942,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. HY056,Nocardioides sp. HY056
6320,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Dietziaceae,Dietzia,Dietzia sp. oral taxon 368,Dietzia sp. oral taxon 368
7040,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ornithobacterium,Ornithobacterium rhinotracheale,Ornithobacterium rhinotracheale
7142,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. H6466,Chryseobacterium sp. H6466
7379,Bacteroidetes <phylum>,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,Sphingobacterium
7407,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,,Flavisolibacter
7414,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,,Niabella
8414,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter denitrificans,Rhodanobacter denitrificans
8441,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,,Luteimonas
8518,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Stenotrophomonas
9017,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Melaminivora,,Melaminivora
9648,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella <Bacteria>,,Coxiella <Bacteria>
9908,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Acinetobacter
9966,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,,,Moraxellaceae
9969,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter defluvii,Acinetobacter defluvii
9988,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,,,Moraxellaceae
4692,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus sp. SCSIO 07484,Brevibacillus sp. SCSIO 07484
7047,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Elizabethkingia bruuniana,Elizabethkingia bruuniana
13013,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,Ferrimonas balearica,Ferrimonas balearica DSM 9799
775,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
799,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas sp. DS20,Brevundimonas sp. DS20
1119,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus puniceus,Deinococcus puniceus
1253,Spirochaetes <phylum>,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,Treponema
1275,Spirochaetes <phylum>,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,,Brachyspira
1302,Spirochaetes <phylum>,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,Leptospira interrogans
1605,Thermotogae <phylum>,Thermotogae <class>,Petrotogales,Petrotogaceae,,,Petrotogaceae
1653,,,,,,,Bacteria <prokaryotes>
2012,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2727,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillaceae
3843,,,,,,,Terrabacteria group
3891,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,,,Leptotrichiaceae
3982,Tenericutes,,,,,,Tenericutes
4110,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,,Mycoplasma
4304,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,,Spiroplasma
4333,,,,,,,Bacteria <prokaryotes>
4639,,,,,,,Bacteria <prokaryotes>
4686,,,,,,,Bacteria <prokaryotes>
4688,,,,,,,Bacteria <prokaryotes>
4691,,,,,,,Bacteria <prokaryotes>
4970,Chloroflexi <phylum>,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus sp. RS-1,Roseiflexus sp. RS-1
4971,Chloroflexi <phylum>,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,,Roseiflexus
5541,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,,,Micrococcaceae
5586,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces howellii,Actinomyces howellii
5809,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Microbacteriaceae,Frondihabitans,,Frondihabitans
5921,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Microbacteriaceae,,,Microbacteriaceae
5928,Actinobacteria <phylum>,Actinobacteria <class>,,,,,Actinobacteria <class>
5939,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,Aeromicrobium
5980,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,,Acidipropionibacterium
5986,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Propionibacteriaceae,,,Propionibacteriaceae
6028,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,Tessaracoccus sp. Marseille-P5995,Tessaracoccus sp. Marseille-P5995
6029,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Propionibacteriaceae,,,Propionibacteriaceae
6249,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,Corynebacterium
6584,Actinobacteria <phylum>,Actinobacteria <class>,Streptosporangiales,Thermomonosporaceae,Actinomadura,Actinomadura amylolytica,Actinomadura amylolytica
6590,Actinobacteria <phylum>,Actinobacteria <class>,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei,Nocardiopsis dassonvillei
6614,Actinobacteria <phylum>,,,,,,Actinobacteria <phylum>
6689,Balneolaeota,,,,Candidatus Cyclonatronum,Candidatus Cyclonatronum proteinivorum,Candidatus Cyclonatronum proteinivorum
6835,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,Flavobacteriaceae
7019,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,,Blattabacterium
7416,Bacteroidetes <phylum>,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga pinensis,Chitinophaga pinensis DSM 2588
7509,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium,,Candidatus Cardinium
7538,Deferribacteres <phylum>,Deferribacteres <class>,Deferribacterales,Deferribacteraceae,,,Deferribacteraceae
7540,Deferribacteres <phylum>,Deferribacteres <class>,Deferribacterales,Deferribacteraceae,Flexistipes,Flexistipes sinusarabici,Flexistipes sinusarabici DSM 4947
7551,Nitrospirae,Nitrospira <class>,Nitrospirales,Nitrospiraceae,Nitrospira <genus>,Nitrospira defluvii,Nitrospira defluvii
7613,Chlamydiae <phylum>,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae,Chlamydia pneumoniae
7698,Chlamydiae <phylum>,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,,Chlamydia
7758,Elusimicrobia <phylum>,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,Endomicrobium proavitum,Endomicrobium proavitum
7765,,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae,Candidatus Babela,Candidatus Babela massiliensis,Candidatus Babela massiliensis
7827,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,,,Arcobacter group
8305,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,,,,Desulfuromonadales
8318,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,,,Desulfobulbaceae
8361,Proteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,Vulgatibacter incomptus,Vulgatibacter incomptus
8621,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Candidatus Methylopumilus,,Candidatus Methylopumilus
8724,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,Neisseria gonorrhoeae
8786,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,,Neisseriaceae
8793,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,,Neisseriaceae
9238,Proteobacteria,Betaproteobacteria,,,Candidatus Nasuia,Candidatus Nasuia deltocephalinicola,Candidatus Nasuia deltocephalinicola str. NAS-ALF
9472,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,Massilia
9489,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,,Oxalobacteraceae
9531,Proteobacteria,Betaproteobacteria,,,,,Betaproteobacteria
9634,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,,Legionellaceae
9667,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,Acidihalobacter prosperus
9831,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella <genus>,,Moraxella <genus>
10598,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,Candidatus Carsonella ruddii CE isolate Thao2000
12495,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera <proteobacteria>,Buchnera aphidicola,Buchnera aphidicola
12515,Proteobacteria,Gammaproteobacteria,,,,Candidatus Baumannia cicadellinicola,Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
12796,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella sp. 15-184,Glaesserella sp. 15-184
13255,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,,Vibrionaceae
13418,Proteobacteria,Gammaproteobacteria,Alteromonadales,,,,Alteromonadales
13457,Proteobacteria,Gammaproteobacteria,,,,,Gammaproteobacteria
5602,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Actinomyces,,Actinomyces
4636,,,,,,,Bacteria <prokaryotes>
5526,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter nicotianae,Glutamicibacter nicotianae
1326,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. 'Peltigera membranacea cyanobiont' N6,Nostoc sp. 'Peltigera membranacea cyanobiont' N6
1550,Thermodesulfobacteria <phylum>,Thermodesulfobacteria <class>,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,Caldimicrobium thiodismutans,Caldimicrobium thiodismutans
1834,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium
1843,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium ljungdahlii,Clostridium ljungdahlii DSM 13528
2753,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,Bacillaceae
5417,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,,,,Micrococcales
5603,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Actinomyces,,Actinomyces
6007,Actinobacteria <phylum>,Actinobacteria <class>,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes
6640,Calditrichaeota,Calditrichae,Calditrichales,Calditrichaceae,Caldithrix,Caldithrix abyssi,Caldithrix abyssi DSM 13497
6722,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,Flavobacterium
7301,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia,Prevotella intermedia
7511,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Amoebophilaceae,,,Amoebophilaceae
7533,,,,,,,Bacteria <prokaryotes>
7649,Chlamydiae <phylum>,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,,Chlamydia
8938,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas intermedia,Thiomonas intermedia
9029,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. T1,Acidovorax sp. T1
11736,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
13023,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium damselae,Photobacterium damselae subsp. damselae
165,Proteobacteria,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Emcibacter,Emcibacter sp. MEBiC09520,Emcibacter sp. MEBiC09520
891,Proteobacteria,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Paracaedibacter,Candidatus Paracaedibacter acanthamoebae,Candidatus Paracaedibacter acanthamoebae
8310,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfoglaeba,Desulfoglaeba alkanexedens,Desulfoglaeba alkanexedens ALDC
2898,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. Koumiss,Lactobacillus sp. Koumiss
2900,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales
2903,Firmicutes,Bacilli,Lactobacillales,,,,Lactobacillales
2906,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium
2912,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium
2955,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Lactococcus garvieae ATCC 49156
12023,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Klebsiella oxytoca
4411,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Staphylococcus xylosus
6626,Actinobacteria <phylum>,,,,,,Actinobacteria <phylum>
11416,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,,Citrobacter
11848,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli
11917,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,Enterobacterales
12531,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Sodalis,Sodalis endosymbiont of Henestaris halophilus,Sodalis endosymbiont of Henestaris halophilus
12598,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus <enterobacteria>,Proteus mirabilis,Proteus mirabilis
9094,Proteobacteria,Betaproteobacteria,,,,,Betaproteobacteria
3411,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius,Lactobacillus salivarius
3431,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,Lactobacillus acidophilus
6210,Actinobacteria <phylum>,Actinobacteria <class>,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans,Corynebacterium ulcerans
1856,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-rat-Yit,Candidatus Arthromitus sp. SFB-rat-Yit
3055,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,Streptococcus pyogenes
4600,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
4641,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta,Brochothrix thermosphacta
3714,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,Pediococcus pentosaceus
3791,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,Lactobacillus
792,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus,Asticcacaulis excentricus
9844,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,Psychrobacter
4513,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcus aureus
5002,Chloroflexi <phylum>,Anaerolineae,Anaerolineales,Anaerolineaceae,,Anaerolineaceae bacterium oral taxon 439,Anaerolineaceae bacterium oral taxon 439
5468,Actinobacteria <phylum>,Actinobacteria <class>,Micrococcales,Micrococcaceae,Rothia <bacteria>,,Rothia <bacteria>
6932,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 864,Capnocytophaga sp. oral taxon 864
7200,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,Porphyromonas gingivalis ATCC 33277
8335,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus <bacteria>,Syntrophus aciditrophicus,Syntrophus aciditrophicus SB
8777,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata,Neisseria elongata
12829,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,,Pasteurellaceae
3889,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,Leptotrichia
5611,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Parascardovia,Parascardovia denticolens,Parascardovia denticolens DSM 10105 = JCM 12538
7834,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,Campylobacter concisus
3954,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium,Fusobacterium varium
8196,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter typhlonius,Helicobacter typhlonius
3585,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc kimchii,Leuconostoc kimchii
1905,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,Clostridium
5583,Actinobacteria <phylum>,Actinobacteria <class>,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Actinomyces viscosus
